trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
219,False,"{'a': 0.5, 'e': 0.33362200135903064}",20,15,-33.2095366954495,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
220,False,"{'a': 0.5, 'e': 0.33195389135223546}",25,15,-0.5135895361789604,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.3302941218954743}",25,18,14.212601884122817,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.3286426512859969}",20,0,35.59435669432098,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
223,False,"{'a': 0.5, 'e': 0.32699943802956694}",20,8,6.524979137857277,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.32536444083941907}",30,14,1.101495144887705,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 0.323737618635222}",20,0,-3.273625144621312,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
226,False,"{'a': 0.5, 'e': 0.3221189305420459}",20,0,-9.700215625742377,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
227,False,"{'a': 0.5, 'e': 0.32050833588933564}",20,2,0.4777723463381256,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.31890579420988896}",20,15,-2.7308048987166114,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.3173112652388395}",20,0,-2.117052424553429,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
230,False,"{'a': 0.5, 'e': 0.3157247089126453}",20,0,2.824351913061922,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
231,False,"{'a': 0.5, 'e': 0.3141460853680821}",25,0,24.043564926210404,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
